AXES,CATEGORY,SUB CATEGORY,VALUE,DESCRIPTION
action,hacking,variety,Abuse of functionality,Abuse of functionality
action,hacking,variety,Brute force,Brute force or password guessing attacks
action,hacking,variety,Buffer overflow,Buffer overflow. Child of 'Exploit vuln'.
action,hacking,variety,Cache poisoning,Cache poisoning. Child of 'Exploit vuln'.
action,hacking,variety,Cryptanalysis,Cryptanalysis. Child of 'Exploit vuln'.
action,hacking,variety,CSRF,Cross-site request forgery. Child of 'Exploit vuln'.
action,hacking,variety,DoS,Denial of service
action,hacking,variety,Exploit misconfig,Exploit a misconfiguration (vs vuln or weakness)
action,hacking,variety,Exploit vuln,"Exploit vulnerability in code (vs misconfig or weakness). This can be used with other hacking enumerations, (such as XSS when an XSS vuln exists.). Parent of many hacking varieties."
action,hacking,variety,Footprinting,Footprinting and fingerprinting
action,hacking,variety,Forced browsing,Forced browsing or predictable resource location. Child of 'Exploit vuln'.
action,hacking,variety,Format string attack,Format string attack. Child of 'Exploit vuln'.
action,hacking,variety,Fuzz testing,Fuzz testing. Child of 'Exploit vuln'.
action,hacking,variety,HTTP request smuggling,HTTP request smuggling. Child of 'Exploit vuln'.
action,hacking,variety,HTTP request splitting,HTTP request splitting. Child of 'Exploit vuln'.
action,hacking,variety,HTTP response smuggling,HTTP response smuggling. Child of 'Exploit vuln'.
action,hacking,variety,HTTP Response Splitting,HTTP Response Splitting. Child of 'Exploit vuln'.
action,hacking,variety,Insecure deserialization,iterating over sequential or obvious values. https://www.owasp.org/index.php/Top_10-2017_A8-Insecure_Deserialization. Child of 'Exploit vuln'.
action,hacking,variety,Integer overflows,Integer overflows. Child of 'Exploit vuln'.
action,hacking,variety,LDAP injection,LDAP injection. Child of 'Exploit vuln'.
action,hacking,variety,Mail command injection,Mail command injection. Child of 'Exploit vuln'.
action,hacking,variety,MitM,Man-in-the-middle attack. Child of 'Exploit vuln'.
action,hacking,variety,Null byte injection,Null byte injection. Child of 'Exploit vuln'.
action,hacking,variety,Offline cracking,"Offline password or key cracking (e.g., rainbow tables, Hashcat, JtR)"
action,hacking,variety,OS commanding,OS commanding. Child of 'Exploit vuln'.
action,hacking,variety,Pass-the-hash,Pass-the-hash
action,hacking,variety,Path traversal,Path traversal. Child of 'Exploit vuln'.
action,hacking,variety,Reverse engineering,Reverse engineering. Child of 'Exploit vuln'.
action,hacking,variety,RFI,Remote file inclusion. Child of 'Exploit vuln'.
action,hacking,variety,Routing detour,Routing detour. Child of 'Exploit vuln'.
action,hacking,variety,Session fixation,Session fixation. Child of 'Exploit vuln'.
action,hacking,variety,Session prediction,Credential or session prediction. Child of 'Exploit vuln'.
action,hacking,variety,Session replay,Session replay. Child of 'Exploit vuln'.
action,hacking,variety,Soap array abuse,Soap array abuse. Child of 'Exploit vuln'.
action,hacking,variety,Special element injection,Special element injection. Child of 'Exploit vuln'.
action,hacking,variety,SQLi,SQL injection. Child of 'Exploit vuln'.
action,hacking,variety,SSI injection,SSI injection. Child of 'Exploit vuln'.
action,hacking,variety,URL redirector abuse,URL redirector abuse. Child of 'Exploit vuln'.
action,hacking,variety,Use of backdoor or C2,Use of Backdoor or C2 channel
action,hacking,variety,Use of stolen creds,Use of stolen authentication credentials (including credential stuffing)
action,hacking,variety,User breakout,Elevation of privilege by another customer in shared environment. Child of 'Exploit vuln'.
action,hacking,variety,Virtual machine escape,Virtual machine escape. Child of 'Exploit vuln'.
action,hacking,variety,XML attribute blowup,XML attribute blowup. Child of 'Exploit vuln'.
action,hacking,variety,XML entity expansion,XML entity expansion. Child of 'Exploit vuln'.
action,hacking,variety,XML external entities,XML external entities. Child of 'Exploit vuln'.
action,hacking,variety,XML injection,XML injection. Child of 'Exploit vuln'.
action,hacking,variety,XPath injection,XPath injection. Child of 'Exploit vuln'.
