DATE DELIVERED,VERIS PATH,RELATIONSHIP TYPE,TECHNIQUE ID
23/03/31,action.hacking.variety.Abuse of functionality,related-to,T0800
23/03/31,action.hacking.variety.Abuse of functionality,related-to,T0885
23/03/31,action.hacking.variety.Abuse of functionality,related-to,T0816
23/03/31,action.hacking.variety.Abuse of functionality,related-to,T0817
23/03/31,action.hacking.variety.Abuse of functionality,related-to,T0871
23/03/31,action.hacking.variety.Abuse of functionality,related-to,T0823
23/03/31,action.hacking.variety.Abuse of functionality,related-to,T0874
23/03/31,action.hacking.variety.Abuse of functionality,related-to,T0867
23/03/31,action.hacking.variety.Abuse of functionality,related-to,T0855
23/03/31,action.hacking.variety.Abuse of functionality,related-to,T0869
23/03/31,action.hacking.variety.Abuse of functionality,related-to,T0881
23/03/31,action.hacking.variety.Abuse of functionality,related-to,T0853
23/03/31,action.hacking.variety.Backdoor,related-to,T0822
23/03/31,action.hacking.variety.Backdoor,related-to,T0883
23/03/31,action.hacking.variety.Backdoor,related-to,T0855
23/03/31,action.hacking.variety.Backdoor,related-to,T0869
23/03/31,action.hacking.variety.Backdoor,related-to,T0853
23/03/31,action.hacking.variety.Backdoor,related-to,T0848
23/03/31,action.hacking.variety.Backdoor,related-to,T0835
23/03/31,action.hacking.variety.Backdoor,related-to,T0831
23/03/31,action.hacking.variety.Brute force,related-to,T0806
23/03/31,action.hacking.variety.Disable controls,related-to,T0858
23/03/31,action.hacking.variety.DoS,related-to,T0813
23/03/31,action.hacking.variety.DoS,related-to,T0814
23/03/31,action.hacking.variety.DoS,related-to,T0815
23/03/31,action.hacking.variety.DoS,related-to,T0816
23/03/31,action.hacking.variety.Evade Defenses,related-to,T0800
23/03/31,action.hacking.variety.Evade Defenses,related-to,T0878
23/03/31,action.hacking.variety.Evade Defenses,related-to,T0804
23/03/31,action.hacking.variety.Evade Defenses,related-to,T0805
23/03/31,action.hacking.variety.Evade Defenses,related-to,T0820
23/03/31,action.hacking.variety.Evade Defenses,related-to,T0872
23/03/31,action.hacking.variety.Exploit misconfig,related-to,T0819
23/03/31,action.hacking.variety.Exploit misconfig,related-to,T0883
23/03/31,action.hacking.variety.Exploit vuln,related-to,T0820
23/03/31,action.hacking.variety.Exploit vuln,related-to,T0890
23/03/31,action.hacking.variety.Exploit vuln,related-to,T0866
23/03/31,action.hacking.variety.MitM,related-to,T0830
23/03/31,action.hacking.variety.MitM,related-to,T0860
23/03/31,action.hacking.variety.Use of stolen creds,related-to,T0812
23/03/31,action.hacking.variety.Use of stolen creds,related-to,T0891
23/03/31,action.hacking.variety.Use of stolen creds,related-to,T0859
23/03/31,action.hacking.vector.Backdoor,related-to,T0884
23/03/31,action.hacking.vector.Backdoor,related-to,T0822
23/03/31,action.hacking.vector.Backdoor,related-to,T0855
23/03/31,action.hacking.vector.Backdoor,related-to,T0848
23/03/31,action.hacking.vector.Command shell,related-to,T0807
23/03/31,action.hacking.vector.Command shell,related-to,T0855
23/03/31,action.hacking.vector.Command shell,related-to,T0853
23/03/31,action.hacking.vector.Web application,related-to,T0819
23/03/31,action.hacking.vector.Other network service,related-to,T0887
23/03/31,action.malware.variety.Backdoor,related-to,T0864
