DATE DELIVERED,VERIS PATH,RELATIONSHIP TYPE,TECHNIQUE ID
23/01/09,action.hacking.variety.Abuse of functionality,related-to,T1047
23/01/09,action.hacking.variety.Abuse of functionality,related-to,T1053
23/01/09,action.hacking.variety.Abuse of functionality,related-to,T1053.002
23/01/09,action.hacking.variety.Abuse of functionality,related-to,T1053.003
23/01/09,action.hacking.variety.Abuse of functionality,related-to,T1053.005
23/01/09,action.hacking.variety.Abuse of functionality,related-to,T1053.006
23/01/09,action.hacking.variety.Abuse of functionality,related-to,T1053.007
23/01/09,action.hacking.variety.Abuse of functionality,related-to,T1059
23/01/09,action.hacking.variety.Abuse of functionality,related-to,T1059.001
23/01/09,action.hacking.variety.Abuse of functionality,related-to,T1059.002
23/01/09,action.hacking.variety.Abuse of functionality,related-to,T1059.003
23/01/09,action.hacking.variety.Abuse of functionality,related-to,T1059.004
23/01/09,action.hacking.variety.Abuse of functionality,related-to,T1059.005
23/01/09,action.hacking.variety.Abuse of functionality,related-to,T1059.006
23/01/09,action.hacking.variety.Abuse of functionality,related-to,T1059.007
23/01/09,action.hacking.variety.Abuse of functionality,related-to,T1059.008
23/01/09,action.hacking.variety.Abuse of functionality,related-to,T1072
23/01/09,action.hacking.variety.Abuse of functionality,related-to,T1106
23/01/09,action.hacking.variety.Abuse of functionality,related-to,T1112
23/01/09,action.hacking.variety.Abuse of functionality,related-to,T1127
23/01/09,action.hacking.variety.Abuse of functionality,related-to,T1127.001
23/01/09,action.hacking.variety.Abuse of functionality,related-to,T1129
23/01/09,action.hacking.variety.Abuse of functionality,related-to,T1137
23/01/09,action.hacking.variety.Abuse of functionality,related-to,T1137.001
23/01/09,action.hacking.variety.Abuse of functionality,related-to,T1137.002
23/01/09,action.hacking.variety.Abuse of functionality,related-to,T1137.003
23/01/09,action.hacking.variety.Abuse of functionality,related-to,T1137.004
23/01/09,action.hacking.variety.Abuse of functionality,related-to,T1137.005
23/01/09,action.hacking.variety.Abuse of functionality,related-to,T1187
23/01/09,action.hacking.variety.Abuse of functionality,related-to,T1202
23/01/09,action.hacking.variety.Abuse of functionality,related-to,T1216
23/01/09,action.hacking.variety.Abuse of functionality,related-to,T1216.001
23/01/09,action.hacking.variety.Abuse of functionality,related-to,T1218
23/01/09,action.hacking.variety.Abuse of functionality,related-to,T1218.001
23/01/09,action.hacking.variety.Abuse of functionality,related-to,T1218.002
23/01/09,action.hacking.variety.Abuse of functionality,related-to,T1218.003
