DATE DELIVERED,VERIS PATH,RELATIONSHIP TYPE,TECHNIQUE ID
23/01/18,action.hacking.variety.Abuse of functionality,related-to,T1626
23/01/18,action.hacking.variety.Abuse of functionality,related-to,T1626.001
23/01/18,action.hacking.variety.Abuse of functionality,related-to,T1640
23/01/18,action.hacking.variety.Abuse of functionality,related-to,T1437
23/01/18,action.hacking.variety.Abuse of functionality,related-to,T1532
23/01/18,action.hacking.variety.Abuse of functionality,related-to,T1398
23/01/18,action.hacking.variety.Abuse of functionality,related-to,T1623
23/01/18,action.hacking.variety.Abuse of functionality,related-to,T1623.001
23/01/18,action.hacking.variety.Abuse of functionality,related-to,T1624
23/01/18,action.hacking.variety.Abuse of functionality,related-to,T1624.001
23/01/18,action.hacking.variety.Abuse of functionality,related-to,T1636
23/01/18,action.hacking.variety.Abuse of functionality,related-to,T1636.001
23/01/18,action.hacking.variety.Abuse of functionality,related-to,T1636.002
23/01/18,action.hacking.variety.Abuse of functionality,related-to,T1636.003
23/01/18,action.hacking.variety.Abuse of functionality,related-to,T1636.004
23/01/18,action.hacking.variety.Abuse of functionality,related-to,T1603
23/01/18,action.hacking.variety.Abuse of functionality,related-to,T1541
23/01/18,action.hacking.variety.Abuse of functionality,related-to,T1629.001
23/01/18,action.hacking.variety.Abuse of functionality,related-to,T1629.002
23/01/18,action.hacking.variety.Backdoor,related-to,T1521
23/01/18,action.hacking.variety.Backdoor,related-to,T1521.001
23/01/18,action.hacking.variety.Backdoor,related-to,T1521.002
23/01/18,action.hacking.variety.DoS,related-to,T1642
23/01/18,action.hacking.variety.DoS,related-to,T1464
23/01/18,action.hacking.variety.Evade Defenses,related-to,T1627
23/01/18,action.hacking.variety.Evade Defenses,related-to,T1627.001
23/01/18,action.hacking.variety.Evade Defenses,related-to,T1628
23/01/18,action.hacking.variety.Evade Defenses,related-to,T1628.001
23/01/18,action.hacking.variety.Evade Defenses,related-to,T1628.002
23/01/18,action.hacking.variety.Evade Defenses,related-to,T1630
23/01/18,action.hacking.variety.Evade Defenses,related-to,T1406
23/01/18,action.hacking.variety.Evade Defenses,related-to,T1406.001
